pmid,target_mention,context_sentence,journal,year
30092858,IFNA2,Interferon alpha-2 was investigated as a therapeutic target.,J Immunol,2024
30078945,CHML,Inhibition of CHML altered disease-relevant signalling in vitro.,J Immunol,2021
30060125,SOBP,Inhibition of SOBP altered disease-relevant signalling in vitro.,Free Radic Biol Med,2021
30028328,CCR6,C-C chemokine receptor type 6 was investigated as a therapeutic target.,Circulation,2024
30040901,SCGN,Inhibition of SCGN altered disease-relevant signalling in vitro.,Cell,2022
30030760,DPP9,A screening campaign identified modulators of Dipeptidyl peptidase 9.,Cancer Res,2021
30012024,YWHAQ,A screening campaign identified modulators of 14-3-3 protein theta.,Circulation,2025
30095168,IGHE,Immunoglobulin heavy constant epsilon was investigated as a therapeutic target.,Diabetes,2024
30078923,IGLV5-52,IGLV5-52 expression correlated with treatment response.,J Biol Chem,2024
30068487,SP9,SP9 expression correlated with treatment response.,Endocrinology,2023
30024074,CREB1,A screening campaign identified modulators of Cyclic AMP-responsive element-binding protein 1.,J Biol Chem,2025
30054403,KCNN4,KCNN4 expression correlated with treatment response.,Circulation,2024
30010262,MERTK,Tyrosine-protein kinase Mer was investigated as a therapeutic target.,Diabetes,2023
30083538,SLC22A5,Organic cation/carnitine transporter 2 was investigated as a therapeutic target.,Free Radic Biol Med,2024
30036249,DHODH,Inhibition of DHODH altered disease-relevant signalling in vitro.,Free Radic Biol Med,2025
30098138,TTLL13,Tubulin polyglutamylase TTLL13 was investigated as a therapeutic target.,Blood,2024
30052004,OR2J2,Olfactory receptor 2J2 was investigated as a therapeutic target.,J Immunol,2025
30068572,PBX2,Pre-B-cell leukemia transcription factor 2 was investigated as a therapeutic target.,Circulation,2023
30068944,ESR1,Estrogen receptor was investigated as a therapeutic target.,J Immunol,2025
30096536,IGLV3-32,A screening campaign identified modulators of Probable non-functional immunoglobulin lambda variable 3-32.,Free Radic Biol Med,2022
30043265,ARSD,Inhibition of ARSD altered disease-relevant signalling in vitro.,Blood,2021
30093994,MYL12B,Myosin regulatory light chain 12B was investigated as a therapeutic target.,Endocrinology,2025
30020967,TRAV9-1,TRAV9-1 expression correlated with treatment response.,Diabetes,2023
30049624,TRAV27,A screening campaign identified modulators of T cell receptor alpha variable 27.,Nat Rev Drug Discov,2025
30020564,SEC61A1,A screening campaign identified modulators of Protein transport protein Sec61 subunit alpha isoform 1.,J Immunol,2025
30013990,NTRK2,A screening campaign identified modulators of BDNF/NT-3 growth factors receptor.,Mol Cell,2021
30057709,MAP3K5,Inhibition of MAP3K5 altered disease-relevant signalling in vitro.,Blood,2025
30033331,IKBKB,IKBKB expression correlated with treatment response.,Cell,2022
30048936,PON2,A screening campaign identified modulators of Serum paraoxonase/arylesterase 2.,Circulation,2022
30033152,KIAA0040,Uncharacterized protein KIAA0040 was investigated as a therapeutic target.,Cell,2023
30033910,LZTS3,A screening campaign identified modulators of Leucine zipper putative tumor suppressor 3.,Cancer Res,2021
30098268,PAX6,Paired box protein Pax-6 was investigated as a therapeutic target.,Cell,2024
30015518,SLC5A2,Sodium/glucose cotransporter 2 was investigated as a therapeutic target.,Diabetes,2024
30044162,CCDC28A-AS1,A screening campaign identified modulators of Putative uncharacterized protein CCDC28A-AS1.,Diabetes,2023
30011404,AQR,RNA helicase aquarius was investigated as a therapeutic target.,Nat Med,2025
30045180,NMUR2,Neuromedin-U receptor 2 was investigated as a therapeutic target.,Cancer Res,2021
30041117,PSA,Serum levels of the glycoprotein guided biopsy decisions in the population screening cohort.,J Immunol,2022
30019848,TTLL8,Protein monoglycylase TTLL8 was investigated as a therapeutic target.,Nat Med,2024
30085406,GAGE7,A screening campaign identified modulators of G antigen 7.,Endocrinology,2022
30013693,NR4A1,Inhibition of NR4A1 altered disease-relevant signalling in vitro.,Blood,2024
30031224,PARP1,Poly [ADP-ribose] polymerase 1 was investigated as a therapeutic target.,Diabetes,2025
30067676,RRAS2,A screening campaign identified modulators of Ras-related protein R-Ras2.,Nat Med,2022
30081661,KLRK1,Inhibition of KLRK1 altered disease-relevant signalling in vitro.,J Biol Chem,2022
30099332,SOX3,Transcription factor SOX-3 was investigated as a therapeutic target.,Free Radic Biol Med,2023
30046432,IFNG,Interferon gamma was investigated as a therapeutic target.,Cell,2023
30093924,GAD2,Glutamate decarboxylase 2 was investigated as a therapeutic target.,Circulation,2025
30086203,TRAV9-2,TRAV9-2 expression correlated with treatment response.,Free Radic Biol Med,2024
30036301,IGHV4-39,Inhibition of IGHV4-39 altered disease-relevant signalling in vitro.,Free Radic Biol Med,2022
30020892,USP14,Ubiquitin carboxyl-terminal hydrolase 14 was investigated as a therapeutic target.,Blood,2023
30080214,DRD2,D(2) dopamine receptor was investigated as a therapeutic target.,J Biol Chem,2025
30061664,KLKB1,A screening campaign identified modulators of Plasma kallikrein.,J Biol Chem,2025
30066992,CTDSPL2,CTD small phosphatase-like protein 2 was investigated as a therapeutic target.,Diabetes,2023
30096686,AIM2,A screening campaign identified modulators of Interferon-inducible protein AIM2.,J Immunol,2022
30040803,IFNA5,IFNA5 expression correlated with treatment response.,Nat Med,2024
30083602,CCNF,Cyclin-F was investigated as a therapeutic target.,J Biol Chem,2023
30078896,H1-2,A screening campaign identified modulators of Histone H1.2.,Blood,2022
30047564,SIRT3,"A screening campaign identified modulators of NAD-dependent protein deacetylase sirtuin-3, mitochondrial.",Mol Cell,2025
30096752,PDE10A,"A screening campaign identified modulators of cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A.",Cell,2023
30050214,CXCR4,C-X-C chemokine receptor type 4 was investigated as a therapeutic target.,Mol Cell,2025
30062887,AKT1,AKT1 expression correlated with treatment response.,Diabetes,2023
30069285,BIRC2,Inhibition of BIRC2 altered disease-relevant signalling in vitro.,Nat Rev Drug Discov,2021
30067842,DAD1,A screening campaign identified modulators of Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1.,Mol Cell,2023
30015968,IL6,Interleukin-6 was investigated as a therapeutic target.,Free Radic Biol Med,2024
30082617,PSA,Rising titres after radical prostatectomy signalled biochemical recurrence ahead of imaging.,Nat Med,2024
30087624,NUDT4B,A screening campaign identified modulators of Diphosphoinositol polyphosphate phosphohydrolase NUDT4B.,Endocrinology,2025
30019521,SRRM4,A screening campaign identified modulators of Serine/arginine repetitive matrix protein 4.,Endocrinology,2021
30015864,IGLV4-69,A screening campaign identified modulators of Immunoglobulin lambda variable 4-69.,Nat Rev Drug Discov,2025
30050472,NR3C2,A screening campaign identified modulators of Mineralocorticoid receptor.,Endocrinology,2023
30050224,TSPY10,A screening campaign identified modulators of Testis-specific Y-encoded protein 10.,Mol Cell,2025
30018609,RPL10,Inhibition of RPL10 altered disease-relevant signalling in vitro.,J Biol Chem,2025
30065708,KNCN,Kinocilin was investigated as a therapeutic target.,Blood,2024
30019520,RPL10,A screening campaign identified modulators of Large ribosomal subunit protein uL16.,Blood,2021
30016522,MRC1,A screening campaign identified modulators of Macrophage mannose receptor 1.,Circulation,2023
30012560,SNRPD3,A screening campaign identified modulators of Small nuclear ribonucleoprotein Sm D3.,Cell,2021
30043414,IGLV3-19,Immunoglobulin lambda variable 3-19 was investigated as a therapeutic target.,Cell,2025
30060956,F12,A screening campaign identified modulators of Coagulation factor XII.,Circulation,2022
30051644,ARHGEF6,Rho guanine nucleotide exchange factor 6 was investigated as a therapeutic target.,Cell,2025
30068772,PRKCD,A screening campaign identified modulators of Protein kinase C delta type.,Cancer Res,2023
30097227,TTLL13,TTLL13 expression correlated with treatment response.,Circulation,2023
30049561,NR3C2,Inhibition of NR3C2 altered disease-relevant signalling in vitro.,Cancer Res,2022
30034245,PDE5A,Inhibition of PDE5A altered disease-relevant signalling in vitro.,Endocrinology,2021
30016603,RPS16,RPS16 expression correlated with treatment response.,Endocrinology,2024
30065982,IGLV1-40,A screening campaign identified modulators of Immunoglobulin lambda variable 1-40.,Diabetes,2023
30079160,IDH2,"Isocitrate dehydrogenase [NADP], mitochondrial was investigated as a therapeutic target.",Diabetes,2021
30044308,AQP7B,Putative aquaporin-7B was investigated as a therapeutic target.,Mol Cell,2024
30095592,PCSK9,Proprotein convertase subtilisin/kexin type 9 was investigated as a therapeutic target.,J Biol Chem,2023
30082572,KLRK1,A screening campaign identified modulators of NKG2-D type II integral membrane protein.,Cancer Res,2023
30034242,IKBKB,Inhibitor of nuclear factor kappa-B kinase subunit beta was investigated as a therapeutic target.,Nat Rev Drug Discov,2023
30021807,IGLV1-50,IGLV1-50 expression correlated with treatment response.,Circulation,2023
30079303,DRD2,DRD2 expression correlated with treatment response.,Mol Cell,2024
30062618,KRT34,"Keratin, type I cuticular Ha4 was investigated as a therapeutic target.",Diabetes,2024
30091041,WNT9B,Inhibition of WNT9B altered disease-relevant signalling in vitro.,J Immunol,2022
30085703,ANXA13,ANXA13 expression correlated with treatment response.,Mol Cell,2024
30042532,KCNA2,Potassium voltage-gated channel subfamily A member 2 was investigated as a therapeutic target.,Cancer Res,2023
30079568,ZNF146,Zinc finger protein OZF was investigated as a therapeutic target.,Nat Rev Drug Discov,2024
30024211,GPM6B,GPM6B expression correlated with treatment response.,J Immunol,2022
30069088,FHIP1A,FHF complex subunit HOOK-interacting protein 1A was investigated as a therapeutic target.,Mol Cell,2024
30046500,RHOA,A screening campaign identified modulators of Transforming protein RhoA.,Cell,2021
30011622,CFTR,A screening campaign identified modulators of Cystic fibrosis transmembrane conductance regulator.,J Immunol,2023
30049303,CXCR4,CXCR4 expression correlated with treatment response.,J Immunol,2024
30039312,MAST3,A screening campaign identified modulators of Microtubule-associated serine/threonine-protein kinase 3.,Diabetes,2023
30077985,H1-2,Inhibition of H1-2 altered disease-relevant signalling in vitro.,Blood,2021
30055406,CSH1,A screening campaign identified modulators of Chorionic somatomammotropin hormone 1.,J Immunol,2022
30050523,KCNH2,KCNH2 expression correlated with treatment response.,Cancer Res,2024
30026104,IGKV3D-11,Immunoglobulin kappa variable 3D-11 was investigated as a therapeutic target.,Circulation,2025
30021089,ABTB3,Inhibition of ABTB3 altered disease-relevant signalling in vitro.,Circulation,2025
30044067,HNF4A,HNF4A expression correlated with treatment response.,Nat Med,2023
30023780,PPARG,Peroxisome proliferator-activated receptor gamma was investigated as a therapeutic target.,Endocrinology,2021
30045589,RHOA,Inhibition of RHOA altered disease-relevant signalling in vitro.,Cancer Res,2025
30061714,CCL11,Eotaxin was investigated as a therapeutic target.,Mol Cell,2025
30075853,IGHV3-53,Inhibition of IGHV3-53 altered disease-relevant signalling in vitro.,Nat Rev Drug Discov,2024
30094874,IGKV1D-33,Immunoglobulin kappa variable 1D-33 was investigated as a therapeutic target.,Blood,2025
30037854,PIGR,A screening campaign identified modulators of Polymeric immunoglobulin receptor.,Nat Med,2025
30045185,CACNA1C,Inhibition of CACNA1C altered disease-relevant signalling in vitro.,Nat Med,2021
30069389,ANKRD36,Inhibition of ANKRD36 altered disease-relevant signalling in vitro.,Free Radic Biol Med,2025
30019653,SEC61A1,Inhibition of SEC61A1 altered disease-relevant signalling in vitro.,Free Radic Biol Med,2024
30047040,IGHV4-30-2,Immunoglobulin heavy variable 4-30-2 was investigated as a therapeutic target.,Diabetes,2021
30065164,THRB,A screening campaign identified modulators of Thyroid hormone receptor beta.,Cancer Res,2025
30048358,RPL7A,Large ribosomal subunit protein eL8 was investigated as a therapeutic target.,Free Radic Biol Med,2024
30033204,NR1H4,A screening campaign identified modulators of Bile acid receptor.,J Immunol,2025
30068261,ESRRA,Inhibition of ESRRA altered disease-relevant signalling in vitro.,J Immunol,2022
30014607,SLC5A2,SLC5A2 expression correlated with treatment response.,Cancer Res,2023
30048713,TRAV27,Inhibition of TRAV27 altered disease-relevant signalling in vitro.,Nat Med,2024
30082627,SLC22A5,SLC22A5 expression correlated with treatment response.,Diabetes,2023
30077068,GAST,Gastrin was investigated as a therapeutic target.,Nat Med,2024
30092704,DCK,Deoxycytidine kinase was investigated as a therapeutic target.,Cancer Res,2025
30097386,HTR7,A screening campaign identified modulators of 5-hydroxytryptamine receptor 7.,J Biol Chem,2022
30052388,DHRS7C,Dehydrogenase/reductase SDR family member 7C was investigated as a therapeutic target.,Diabetes,2024
30087114,TRAV9-2,T cell receptor alpha variable 9-2 was investigated as a therapeutic target.,Circulation,2025
30074291,IGLV6-57,IGLV6-57 expression correlated with treatment response.,Endocrinology,2022
30050724,RIPK2,Receptor-interacting serine/threonine-protein kinase 2 was investigated as a therapeutic target.,Circulation,2025
30093301,PTGS2,Inhibition of PTGS2 altered disease-relevant signalling in vitro.,Cancer Res,2022
30065880,CCDC169,Coiled-coil domain-containing protein 169 was investigated as a therapeutic target.,Free Radic Biol Med,2021
30091947,IFNA2,IFNA2 expression correlated with treatment response.,Endocrinology,2023
30054682,TRAV23DV6,A screening campaign identified modulators of T cell receptor alpha variable 23/delta variable 6.,J Immunol,2023
30074160,DPP8,A screening campaign identified modulators of Dipeptidyl peptidase 8.,Endocrinology,2021
30086614,ANXA13,Annexin A13 was investigated as a therapeutic target.,Nat Rev Drug Discov,2025
30096510,RPS11,A screening campaign identified modulators of Small ribosomal subunit protein uS17.,Cell,2021
30027960,MCM3AP,Germinal-center associated nuclear protein was investigated as a therapeutic target.,J Biol Chem,2021
30070527,VARS1,VARS1 expression correlated with treatment response.,J Immunol,2023
30011249,FAP,Inhibition of FAP altered disease-relevant signalling in vitro.,Cell,2025
30078744,EPB42,A screening campaign identified modulators of Protein 4.2.,Cell,2025
30027087,NUTF2,NUTF2 expression correlated with treatment response.,Diabetes,2023
30012568,IFNA7,Interferon alpha-7 was investigated as a therapeutic target.,Nat Med,2024
30049576,CLCN5,A screening campaign identified modulators of H(+)/Cl(-) exchange transporter 5.,Nat Med,2022
30043652,CALR,A screening campaign identified modulators of Calreticulin.,Mol Cell,2023
30017780,EIF4H,A screening campaign identified modulators of Eukaryotic translation initiation factor 4H.,Nat Med,2021
30026770,IGLV3-9,A screening campaign identified modulators of Immunoglobulin lambda variable 3-9.,Nat Rev Drug Discov,2021
30095618,HSPE1,"10 kDa heat shock protein, mitochondrial was investigated as a therapeutic target.",Mol Cell,2024
30058007,IGHV3-9,IGHV3-9 expression correlated with treatment response.,Cell,2023
30077782,PLD2,Phospholipase D2 was investigated as a therapeutic target.,Blood,2023
30030886,LRRC37A3,A screening campaign identified modulators of Leucine-rich repeat-containing protein 37A3.,J Biol Chem,2022
30030720,ITIH3,Inter-alpha-trypsin inhibitor heavy chain H3 was investigated as a therapeutic target.,Mol Cell,2021
30073411,PTGDS,PTGDS expression correlated with treatment response.,Cancer Res,2022
30080672,YJEFN3,YjeF N-terminal domain-containing protein 3 was investigated as a therapeutic target.,Mol Cell,2023
30073108,UQCRQ,Cytochrome b-c1 complex subunit 8 was investigated as a therapeutic target.,Cancer Res,2024
30022456,PRKD1,A screening campaign identified modulators of Serine/threonine-protein kinase D1.,Cancer Res,2022
30096803,PDIA6,PDIA6 expression correlated with treatment response.,Cancer Res,2024
30075991,IRAK1,IRAK1 expression correlated with treatment response.,Diabetes,2022
30042503,IGLV3-19,IGLV3-19 expression correlated with treatment response.,Mol Cell,2024
30071840,SNAPC5,snRNA-activating protein complex subunit 5 was investigated as a therapeutic target.,Cancer Res,2021
30047780,CASR,A screening campaign identified modulators of Extracellular calcium-sensing receptor.,Blood,2021
30078500,IL18R1,A screening campaign identified modulators of Interleukin-18 receptor 1.,Cell,2021
30029290,SAA2,A screening campaign identified modulators of Serum amyloid A-2 protein.,Blood,2021
30070196,BIRC2,A screening campaign identified modulators of Baculoviral IAP repeat-containing protein 2.,Free Radic Biol Med,2022
30059794,UCHL1,Ubiquitin carboxyl-terminal hydrolase isozyme L1 was investigated as a therapeutic target.,Free Radic Biol Med,2025
30055531,CLCN4,CLCN4 expression correlated with treatment response.,Nat Med,2022
30036160,ARHGAP10,A screening campaign identified modulators of Rho GTPase-activating protein 10.,Cell,2021
30041254,GAGE12F,A screening campaign identified modulators of G antigen 12F.,Blood,2025
30024146,IGHV3-30,A screening campaign identified modulators of Immunoglobulin heavy variable 3-30.,Endocrinology,2022
30077925,MGLL,Inhibition of MGLL altered disease-relevant signalling in vitro.,Nat Med,2021
30089638,GPR55,G protein-coupled receptor 55 was investigated as a therapeutic target.,Cell,2024
30046990,PLXNA3,A screening campaign identified modulators of Plexin-A3.,Endocrinology,2021
30048296,KRT33A,"A screening campaign identified modulators of Keratin, type I cuticular Ha3-I.",Mol Cell,2022
30067885,ETV6,Inhibition of ETV6 altered disease-relevant signalling in vitro.,J Immunol,2021
30070626,UBE2D1,A screening campaign identified modulators of Ubiquitin-conjugating enzyme E2 D1.,Endocrinology,2022
30073954,MXD1,A screening campaign identified modulators of Max dimerization protein 1.,Blood,2025
30017514,RPS16,Small ribosomal subunit protein uS9 was investigated as a therapeutic target.,Mol Cell,2025
30011678,CDK5R1,Cyclin-dependent kinase 5 activator 1 was investigated as a therapeutic target.,Mol Cell,2024
30047951,IGKC,IGKC expression correlated with treatment response.,J Biol Chem,2022
30034281,MARK3,Inhibition of MARK3 altered disease-relevant signalling in vitro.,J Biol Chem,2022
30015600,TM4SF5,Transmembrane 4 L6 family member 5 was investigated as a therapeutic target.,Blood,2021
30076871,PLD2,PLD2 expression correlated with treatment response.,Mol Cell,2022
30084713,IGLV2-14,Inhibition of IGLV2-14 altered disease-relevant signalling in vitro.,J Biol Chem,2024
30074322,PTGDS,Prostaglandin-H2 D-isomerase was investigated as a therapeutic target.,Cancer Res,2023
30056888,ST18,Suppression of tumorigenicity 18 protein was investigated as a therapeutic target.,Free Radic Biol Med,2024
30053854,ATP6V0C,A screening campaign identified modulators of V-type proton ATPase 16 kDa proteolipid subunit c.,Nat Med,2025
30027196,PAFAH1B3,A screening campaign identified modulators of Platelet-activating factor acetylhydrolase IB subunit alpha1.,Mol Cell,2022
30037160,DHODH,"A screening campaign identified modulators of Dihydroorotate dehydrogenase (quinone), mitochondrial.",J Biol Chem,2021
30097714,PDIA6,Protein disulfide-isomerase A6 was investigated as a therapeutic target.,J Biol Chem,2025
30055768,CLCN6,H(+)/Cl(-) exchange transporter 6 was investigated as a therapeutic target.,Nat Med,2024
30055153,UBE2L6,Ubiquitin/ISG15-conjugating enzyme E2 L6 was investigated as a therapeutic target.,Free Radic Biol Med,2023
30096969,MBTD1,Inhibition of MBTD1 altered disease-relevant signalling in vitro.,Mol Cell,2025
30071084,CLGN,A screening campaign identified modulators of Calmegin.,J Biol Chem,2025
30087022,GPC3,Glypican-3 was investigated as a therapeutic target.,J Immunol,2023
30041714,IFNA5,Interferon alpha-5 was investigated as a therapeutic target.,Circulation,2025
30070300,ANKRD36,A screening campaign identified modulators of Ankyrin repeat domain-containing protein 36A.,Cancer Res,2021
30095841,PDE10A,Inhibition of PDE10A altered disease-relevant signalling in vitro.,Free Radic Biol Med,2022
30021684,IGHG2,A screening campaign identified modulators of Immunoglobulin heavy constant gamma 2.,Mol Cell,2025
30073249,DPP8,Inhibition of DPP8 altered disease-relevant signalling in vitro.,Cell,2025
30028756,USP11,A screening campaign identified modulators of Ubiquitin carboxyl-terminal hydrolase 11.,J Immunol,2022
30099162,PSA,The kallikrein-family serine protease liquefies seminal coagulum through cleavage of semenogelins.,J Biol Chem,2023
30059080,MAPKBP1,A screening campaign identified modulators of Mitogen-activated protein kinase-binding protein 1.,Nat Rev Drug Discov,2021
30073608,SLC30A4,Probable proton-coupled zinc antiporter SLC30A4 was investigated as a therapeutic target.,J Biol Chem,2024
30049176,H1-3,A screening campaign identified modulators of Histone H1.3.,Circulation,2022
30091191,TYRO3,TYRO3 expression correlated with treatment response.,Endocrinology,2022
30087009,TSPY8,Inhibition of TSPY8 altered disease-relevant signalling in vitro.,Cancer Res,2025
30014224,ALOX15,Polyunsaturated fatty acid lipoxygenase ALOX15 was investigated as a therapeutic target.,J Immunol,2025
30053647,HDAC6,HDAC6 expression correlated with treatment response.,Cancer Res,2023
30042741,CALR,Inhibition of CALR altered disease-relevant signalling in vitro.,Cancer Res,2022
30091825,IFNA13,Inhibition of IFNA13 altered disease-relevant signalling in vitro.,Free Radic Biol Med,2021
30049313,TSPY10,Inhibition of TSPY10 altered disease-relevant signalling in vitro.,Diabetes,2024
30087292,IGHV3-23,Immunoglobulin heavy variable 3-23 was investigated as a therapeutic target.,J Immunol,2023
30080868,ZBTB16,Zinc finger and BTB domain-containing protein 16 was investigated as a therapeutic target.,Nat Med,2024
30031116,IGLV4-60,A screening campaign identified modulators of Immunoglobulin lambda variable 4-60.,Blood,2022
30024400,CNTF,A screening campaign identified modulators of Ciliary neurotrophic factor.,Circulation,2021
30084532,KDM5C,Lysine-specific demethylase 5C was investigated as a therapeutic target.,Blood,2023
30094707,HSPE1,HSPE1 expression correlated with treatment response.,Endocrinology,2023
30098648,GOLGA4,Golgin subfamily A member 4 was investigated as a therapeutic target.,Cell,2024
30063804,LRRIQ3,A screening campaign identified modulators of Leucine-rich repeat and IQ domain-containing protein 3.,Nat Rev Drug Discov,2025
30055152,RIMBP3B,RIMS-binding protein 3B was investigated as a therapeutic target.,J Biol Chem,2023
30048422,ZNF728,Zinc finger protein 728 was investigated as a therapeutic target.,Nat Med,2023
30013914,LCMT2,tRNA wybutosine-synthesizing protein 4 was investigated as a therapeutic target.,Mol Cell,2025
30070173,CLGN,Inhibition of CLGN altered disease-relevant signalling in vitro.,Nat Med,2024
30051434,KCNH2,Voltage-gated inwardly rectifying potassium channel KCNH2 was investigated as a therapeutic target.,Nat Med,2025
30036342,IGLV1-44,A screening campaign identified modulators of Immunoglobulin lambda variable 1-44.,Endocrinology,2023
30046309,IGHV1-45,Inhibition of IGHV1-45 altered disease-relevant signalling in vitro.,Free Radic Biol Med,2025
30040382,MKRN4P,A screening campaign identified modulators of Putative E3 ubiquitin-protein ligase makorin-4.,Diabetes,2023
30012493,HSP90AA1,Inhibition of HSP90AA1 altered disease-relevant signalling in vitro.,Nat Rev Drug Discov,2024
30073792,KIF5C,Kinesin heavy chain isoform 5C was investigated as a therapeutic target.,Nat Rev Drug Discov,2023
30023878,ABL1,Tyrosine-protein kinase ABL1 was investigated as a therapeutic target.,J Immunol,2024
30081466,PTPN11,A screening campaign identified modulators of Tyrosine-protein phosphatase non-receptor type 11.,J Immunol,2022
30070613,RNASEL,Inhibition of RNASEL altered disease-relevant signalling in vitro.,J Immunol,2024
30058620,MAP3K5,A screening campaign identified modulators of Mitogen-activated protein kinase kinase kinase 5.,Nat Med,2021
30037818,IL7R,Interleukin-7 receptor subunit alpha was investigated as a therapeutic target.,Nat Rev Drug Discov,2024
30013003,LCMT2,LCMT2 expression correlated with treatment response.,Endocrinology,2024
30069024,CLCNKA,A screening campaign identified modulators of Chloride channel protein ClC-Ka.,Cancer Res,2025
30019510,HCRTR2,A screening campaign identified modulators of Orexin receptor type 2.,Cell,2021
30093486,BRDT,A screening campaign identified modulators of Bromodomain testis-specific protein.,Circulation,2022
30046504,TRBV18,T cell receptor beta variable 18 was investigated as a therapeutic target.,Blood,2025
30041145,TUBB8B,Inhibition of TUBB8B altered disease-relevant signalling in vitro.,Nat Med,2021
30074041,BMX,Inhibition of BMX altered disease-relevant signalling in vitro.,Blood,2022
30037992,SETD2,Histone-lysine N-methyltransferase SETD2 was investigated as a therapeutic target.,Diabetes,2023
30073183,EEF1A2,EEF1A2 expression correlated with treatment response.,J Immunol,2024
30043840,CSH2,Chorionic somatomammotropin hormone 2 was investigated as a therapeutic target.,Cancer Res,2021
30078782,CIAO1,A screening campaign identified modulators of Probable cytosolic iron-sulfur protein assembly protein CIAO1.,Nat Rev Drug Discov,2023
30014882,SNAPC2,snRNA-activating protein complex subunit 2 was investigated as a therapeutic target.,Nat Rev Drug Discov,2023
30036348,AGER,Advanced glycation end product-specific receptor was investigated as a therapeutic target.,Cancer Res,2024
30056884,F11,Coagulation factor XI was investigated as a therapeutic target.,Nat Med,2025
30022000,ABTB3,A screening campaign identified modulators of Ankyrin repeat- and BTB/POZ domain-containing protein 3.,Circulation,2021
30086756,AXL,A screening campaign identified modulators of Tyrosine-protein kinase receptor UFO.,J Biol Chem,2022
30069172,ESRRA,A screening campaign identified modulators of Steroid hormone receptor ERR1.,J Immunol,2023
30029849,DPP9,Inhibition of DPP9 altered disease-relevant signalling in vitro.,Cancer Res,2025
30096982,STAG3L1,A screening campaign identified modulators of Putative STAG3-like protein 1.,Blood,2023
30060753,KLKB1,Inhibition of KLKB1 altered disease-relevant signalling in vitro.,J Immunol,2024
30050229,ZNF705D,Inhibition of ZNF705D altered disease-relevant signalling in vitro.,Diabetes,2025
30029242,RND3,Rho-related GTP-binding protein RhoE was investigated as a therapeutic target.,Nat Med,2023
30075091,NR3C1,NR3C1 expression correlated with treatment response.,Nat Med,2022
30054370,XDH,A screening campaign identified modulators of Xanthine dehydrogenase/oxidase.,Free Radic Biol Med,2021
30027354,SMO,A screening campaign identified modulators of Protein smoothened.,Endocrinology,2025
30074952,BMX,A screening campaign identified modulators of Cytoplasmic tyrosine-protein kinase BMX.,Circulation,2023
30073958,KDR,Vascular endothelial growth factor receptor 2 was investigated as a therapeutic target.,Nat Rev Drug Discov,2024
30095798,SCN10A,Sodium channel protein type 10 subunit alpha was investigated as a therapeutic target.,Circulation,2024
30047220,IGHV1-45,A screening campaign identified modulators of Immunoglobulin heavy variable 1-45.,Endocrinology,2021
30026840,DUX4L3,Double homeobox protein 4-like protein 3 was investigated as a therapeutic target.,Diabetes,2021
30092486,NEK7,A screening campaign identified modulators of Serine/threonine-protein kinase Nek7.,Nat Rev Drug Discov,2022
30077046,TSPY4,A screening campaign identified modulators of Testis-specific Y-encoded protein 4.,J Biol Chem,2022
30011649,SNRPD3,Inhibition of SNRPD3 altered disease-relevant signalling in vitro.,Cancer Res,2025
30065754,IKBKE,A screening campaign identified modulators of Inhibitor of nuclear factor kappa-B kinase subunit epsilon.,Cancer Res,2025
30037212,IGHV4-39,A screening campaign identified modulators of Immunoglobulin heavy variable 4-39.,Blood,2023
30061707,KRT34,KRT34 expression correlated with treatment response.,Nat Med,2023
30063824,IGKV3-20,Immunoglobulin kappa variable 3-20 was investigated as a therapeutic target.,Cell,2025
30012240,TIMM10,A screening campaign identified modulators of Mitochondrial import inner membrane translocase subunit Tim10.,Cancer Res,2021
30099509,HTR6,Inhibition of HTR6 altered disease-relevant signalling in vitro.,Blood,2025
30046096,CACNA1C,A screening campaign identified modulators of Voltage-dependent L-type calcium channel subunit alpha-1C.,Blood,2022
30092736,IFNA13,A screening campaign identified modulators of Interferon alpha-13.,Free Radic Biol Med,2022
30074094,EEF1A2,Elongation factor 1-alpha 2 was investigated as a therapeutic target.,Diabetes,2025
30067861,PRKCD,Inhibition of PRKCD altered disease-relevant signalling in vitro.,Nat Rev Drug Discov,2022
30075202,IGLV6-57,Immunoglobulin lambda variable 6-57 was investigated as a therapeutic target.,Nat Med,2023
30093963,IGKV1D-33,IGKV1D-33 expression correlated with treatment response.,J Biol Chem,2024
30078836,MGLL,A screening campaign identified modulators of Monoglyceride lipase.,Endocrinology,2022
30083289,PREP,Inhibition of PREP altered disease-relevant signalling in vitro.,Blood,2025
30032821,HTR1B,Inhibition of HTR1B altered disease-relevant signalling in vitro.,Endocrinology,2022
30035782,IGHV4-4,A screening campaign identified modulators of Immunoglobulin heavy variable 4-4.,Nat Med,2023
30022400,CAMKK2,Calcium/calmodulin-dependent protein kinase kinase 2 was investigated as a therapeutic target.,J Biol Chem,2021
30055070,PLCG2,"A screening campaign identified modulators of 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2.",Free Radic Biol Med,2021
30033980,PIM1,Serine/threonine-protein kinase pim-1 was investigated as a therapeutic target.,Free Radic Biol Med,2021
30055314,KCNN4,Intermediate conductance calcium-activated potassium channel protein 4 was investigated as a therapeutic target.,Nat Rev Drug Discov,2025
